Journal,Title,Link,Category,Year
RES,Down the River: Glyphosate Use in Agriculture and Birth Outcomes of Surrounding Populations,https://doi.org/10.1093/restud/rdad011,Mediation,2023
RES,The Mortality Cost of Political Connections,https://doi.org/10.1093/restud/rdv020,Mediation,2015
RES,Racial Diversity and Racial Policy Preferences: The Great Migration and Civil Rights,https://doi.org/10.1093/restud/rdac026,Mediation,2022
RES,"Market Structure and Extortion: Evidence from 50,000 Extortion Payments",https://doi.org/10.1093/restud/rdae057,Mediation,2024
RES,Latent Heterogeneity in the Marginal Propensity to Consume,https://doi.org/10.1093/restud/rdaf102,Mediation,2026
RES,Economic Integration and the Transmission of Democracy,https://doi.org/10.1093/restud/rdae083,Mediation,2024
RES,"Property Rights, Land Misallocation, and Agricultural Efficiency in China",https://doi.org/10.1093/restud/rdaa072,Mediation,2020
RES,Credit Allocation and Macroeconomic Fluctuations,https://doi.org/10.1093/restud/rdad112,Mediation,2023
RES,Does Conflict of Interest Lead to Biased Coverage? Evidence from Movie Reviews,https://doi.org/10.1093/restud/rdx002,Mediation,2017
RES,Bewley Banks,https://doi.org/10.1093/restud/rdaf062,Mediation,2025
RES,Time Consistency and Duration of Government Debt: A Model of Quantitative Easing,https://doi.org/10.1093/restud/rdac063,Mediation,2022
RES,Financial Fragility in Small Open Economies: Firm Balance Sheets and the Sectoral Structure,https://doi.org/10.1093/restud/rdv011,Mediation,2015
RES,"Religion, Education, and the State ",https://doi.org/10.1093/restud/rdaf071,Mediation,2025
RES,Wealth Taxation and Household Saving: Evidence from Assessment Discontinuities in Norway,https://doi.org/10.1093/restud/rdae100,Mediation,2024
RES,Information and Bargaining through Agents: Experimental Evidence from Mexico’s Labour Courts ,https://doi.org/10.1093/restud/rdae003,Mediation,2024
RES,Racial Discrimination and the Social Contract: Evidence from U.S. Army Enlistment During WWII,https://doi.org/10.1093/restud/rdaf038,Mediation,2025
RES,How Do Inheritances Shape Wealth Inequality? Theory and Evidence from Sweden ,https://doi.org/10.1093/restud/rdac016,Mediation,2022
RES,The Aggregate Implications of Mergers and Acquisitions,https://doi.org/10.1093/restud/rdaa077,Mediation,2020
RES,"Patent Term, Innovation, and the Role of Technology Disclosure Externalities",https://doi.org/10.1093/restud/rdag005,Mediation,2026
RES,The Cost of Wage Rigidity ,https://doi.org/10.1093/restud/rdad020,Mediation,2023
RES,"Job Displacement, Unemployment Benefits and Domestic Violence ",https://doi.org/10.1093/restud/rdaf004,Mediation,2025
RES,"Devaluations, Deposit Dollarization, and Household Heterogeneity",https://doi.org/10.1093/restud/rdaf109,Mediation,2025
RES,Disease Control and Inequality Reduction: Evidence from a Tuberculosis Testing and Vaccination Campaign,https://doi.org/10.1093/restud/rdaa022,Mediation,2020
RES,Feedback and Learning: The Causal Effects of Reversals on Judicial Decision-Making ,https://doi.org/10.1093/restud/rdae073,Mediation,2024
RES,How Responsive Are Wages to Firm-Specific Changes in Labour Demand? Evidence from Idiosyncratic Export Demand Shocks,https://doi.org/10.1093/restud/rdad069,Mediation,2023
RES,Breaking the Glass Ceiling? The Effect of Board Quotas on Female Labour Market Outcomes in Norway,https://doi.org/10.1093/restud/rdy032,Mediation,2018
RES,Innovation and Top Income Inequality ,https://doi.org/10.1093/restud/rdy027,Mediation,2018
RES,Labour Unrest and the Quality of Production: Evidence from the Construction Equipment Resale Market,https://doi.org/10.1111/j.1467-937X.2007.00461.x,Mediation,2008
RES,"Bank Capital Redux: Solvency, Liquidity, and Crisis",https://doi.org/10.1093/restud/rdaa040,Mediation,2020
RES,"Balance Sheet Effects, Bailout Guarantees and Financial Crises",https://doi.org/10.1111/j.1467-937X.2004.00308.x,Mediation,2004
RES,Competition and Career Advancement ,https://doi.org/10.1093/restud/rdad099,Mediation,2023
RES,Strategic Liquidity Supply and Security Design,https://doi.org/10.1111/j.1467-937X.2005.00345.x,Mediation,2005
RES,Monetary Policy and Birth Rates: The Effect of Mortgage Rate Pass-Through on Fertility,https://doi.org/10.1093/restud/rdad034,Mediation,2023
RES,Real Options and Risk Dynamics,https://doi.org/10.1093/restud/rdv021,Mediation,2015
RES,Firm Inattention and the Efficacy of Monetary Policy: A Text-Based Approach,https://doi.org/10.1093/restud/rdae102,Mediation,2024
RES,Culture and the Historical Fertility Transition,https://doi.org/10.1093/restud/rdac059,Mediation,2022
RES,Attention Utility: Evidence from Individual Investors ,https://doi.org/10.1093/restud/rdaf028,Mediation,2025
RES,Haste or Waste? Peer Pressure and Productivity in the Emergency Department,https://doi.org/10.1093/restud/rdaa054,Mediation,2020
RES,Tax Advantages and Imperfect Competition in Auctions for Municipal Bonds,https://doi.org/10.1093/restud/rdac035,Mediation,2022
RES,"Institutions, Comparative Advantage, and the Environment ",https://doi.org/10.1093/restud/rdaf012,Mediation,2025
RES,Surviving Childhood: Effects of Removing a Child From Home,https://doi.org/10.1093/restud/rdaf044,Mediation,2025
RES,Market Power in Coal Shipping and Implications for U.S. Climate Policy,https://doi.org/10.1093/restud/rdad090,Mediation,2023
RES,Managerial Quality and Productivity Dynamics,https://doi.org/10.1093/restud/rdac062,Mediation,2022
RES,"Organized Crime, Violence, and Politics ",https://doi.org/10.1093/restud/rdy036,Mediation,2018
